id,lat,lng,artdtsch,gattungdeutsch,strname,hausnr,standortnr,pflanzjahr,standalter,bezirk,zeit,wassermenge,wassersumme
_00l734zv4,13.52865,52.48706,Birken-Pappel,PAPPEL,Rheingoldstraße,45,31SB23,1965.0,54,Lichtenberg,2020-05-22 11:49:01.492546+00,25,60
_013bn7mt5,13.33245,52.44031999999999,Spitz-Ahorn,AHORN,Calandrellistraße,ggü.19,830,2013.0,6,Steglitz-Zehlendorf,2020-05-20 15:12:04.070531+00,25,100
_01b8pwi8h,13.36696,52.50034,Spitz-Ahorn,AHORN,Pohlstraße,35,219620,2010.0,9,Mitte,2020-06-03 17:30:20.34939+00,10,10
_01e1gmep9,13.37515,52.55373,Krim-Linde,LINDE,Exerzierstraße,11,30588,2003.0,16,Mitte,2020-09-02 13:29:11.31918+00,50,150
_01jcl3rr4,13.43166,52.491440000000004,Robinie,ROBINIE,Manitiusstraße,6,2931,2004.0,15,Neukölln,2020-06-01 18:21:54.802575+00,50,120
_02b1wm4xq,13.331010000000001,52.4651,Sommer-Linde,LINDE,Peschkestraße,6,003432,1980.0,39,Steglitz-Zehlendorf,2020-05-26 20:40:50.394686+00,10,770
_02phtjem2,13.38766,52.530409999999996,Weidenblättrige Birne,BIRNE,Schlegelstraße,12,191600,1998.0,21,Mitte,2020-08-16 20:30:28.242157+00,50,50
_02qnujqgt,13.429129999999999,52.500859999999996,Echte Mehlbeere,MEHLBEERE,Waldemarstraße,118,04669,1953.0,66,Friedrichshain-Kreuzberg,2020-07-12 12:32:58.795659+00,50,50
_02wmcyq3w,13.343760000000001,52.49071,"Sommer-Eiche, Stiel-Eiche",EICHE,Berchtesgadener Straße,34,17650,1996.0,23,Tempelhof-Schöneberg,2020-06-16 11:19:43.69581+00,50,50
_02z9hlxyd,13.307220000000001,52.4177,Winter-Linde,LINDE,Schwatlostraße,17,4075,1987.0,32,Steglitz-Zehlendorf,2020-05-25 07:34:48.378854+00,25,25
_02zhpy38p,13.30896,52.44753000000001,Winter-Linde 'Greenspire',LINDE,Gardeschützenweg,50,001473,2015.0,4,Steglitz-Zehlendorf,2020-08-17 19:04:30.462936+00,50,50
_03vg9bw9p,13.45798,52.522909999999996,Rotblühende Rosskastanie,ROSSKASTANIE,undefined,undefined,80101,2007.0,12,Pankow,2020-08-17 18:45:10.737438+00,25,35
_04augqyv9,13.34213,52.49734,Silber-Linde,LINDE,Geisbergstraße,9,17876,1992.0,27,Tempelhof-Schöneberg,2020-08-16 08:02:29.686303+00,10,10
_04daazmfq,13.30352,52.51472,"Oxelbeere, Schwedische Mehlbeere",MEHLBEERE,Thrasoltstraße,24,04481,1987.0,32,Charlottenburg-Wilmersdorf,2020-05-19 17:27:01.835728+00,10,10
_04gn9czjf,13.338820000000002,52.523869999999995,Säulen-Weiss-Dorn,WEIßDORN,Essener Straße,10,224320,2013.0,6,Mitte,2020-05-20 12:00:34.830939+00,10,50
_04trbjphq,13.226370000000001,52.58684,Pyramiden-Eiche,EICHE,Sandhauser Straße,10,03884-Str,2018.0,1,Reinickendorf,2020-08-12 17:43:58.146773+00,25,75
_058i9vpka,13.46231,52.549009999999996,Winter-Linde 'Greenspire',LINDE,Solonplatz,undefined,42719,2002.0,17,Pankow,2020-05-21 12:23:10.99035+00,25,160
_05lvmfaqx,13.33425,52.488459999999996,Amerikanische Linde,LINDE,Helmstedter Straße,15,01932,1986.0,33,Charlottenburg-Wilmersdorf,2020-05-24 19:56:02.650421+00,5,5
