id,lat,lng,artdtsch,gattungdeutsch,strname,hausnr,standortnr,pflanzjahr,standalter,bezirk,wassermenge,wassersumme,anzahlG
_00l734zv4,13.52865,52.48706,Birken-Pappel,PAPPEL,Rheingoldstraße,45,31SB23,1965,54,Lichtenberg,25,60,3
_013bn7mt5,13.33245,52.44032,Spitz-Ahorn,AHORN,Calandrellistraße,ggü.19,830,2013,6,Steglitz-Zehlendorf,25,100,4
_01b8pwi8h,13.36696,52.50034,Spitz-Ahorn,AHORN,Pohlstraße,35,219620,2010,9,Mitte,10,20,2
_01e1gmep9,13.37515,52.55373,Krim-Linde,LINDE,Exerzierstraße,11,30588,2003,16,Mitte,50,150,3
_01jcl3rr4,13.43166,52.49144,Robinie,ROBINIE,Manitiusstraße,6,2931,2004,15,Neukölln,50,120,4
_02b1wm4xq,13.33101,52.4651,Sommer-Linde,LINDE,Peschkestraße,6,003432,1980,39,Steglitz-Zehlendorf,10,770,66
_02phtjem2,13.38766,52.53041,Weidenblättrige Birne,BIRNE,Schlegelstraße,12,191600,1998,21,Mitte,50,50,1
_02qnujqgt,13.42913,52.50086,Echte Mehlbeere,MEHLBEERE,Waldemarstraße,118,04669,1953,66,Friedrichshain-Kreuzberg,50,50,1
_02wmcyq3w,13.34376,52.49071,"Sommer-Eiche, Stiel-Eiche",EICHE,Berchtesgadener Straße,34,17650,1996,23,Tempelhof-Schöneberg,50,50,1
_02z9hlxyd,13.30722,52.4177,Winter-Linde,LINDE,Schwatlostraße,17,4075,1987,32,Steglitz-Zehlendorf,25,25,1
_02zhpy38p,13.30896,52.44753,Winter-Linde 'Greenspire',LINDE,Gardeschützenweg,50,001473,2015,4,Steglitz-Zehlendorf,50,50,1
_036vbh4xv,13.31101,52.62184,Krim-Linde,LINDE,Roedernstraße,13,03745-Str,1955,64,Reinickendorf,25,75,3
_03hdq1iv0,13.34246,52.48833,"Oxelbeere, Schwedische Mehlbeere",MEHLBEERE,Münchener Straße,31,17840,2007,12,Tempelhof-Schöneberg,25,25,1
_03vg9bw9p,13.45798,52.52291,Rotblühende Rosskastanie,ROSSKASTANIE,unbekannte Straße,unbekannte Nummer,80101,2007,12,Pankow,25,35,2
